session_id,user_id,trip_id,session_start,session_end,page_clicks,flight_discount,flight_discount_amount,hotel_discount,hotel_discount_amount,flight_booked,hotel_booked,cancellation,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_price_per_room_night_usd
204997-021a10d531b0433a89496a7ecfa4a965,204997,204997-303a3759d5814673b7c60db793d46cdd,2023-01-05T09:11:24.000Z,2023-01-05T09:53:33.423Z,42,true,null,true,null,true,true,true,1985-08-26T00:00:00.000Z,F,true,false,usa,kansas city,MCI,39.297,-94.714,2022-06-06T00:00:00.000Z,MCI,antalya,AYT,2.0,true,2023-02-13T07:00:00.000Z,2023-02-24T07:00:00.000Z,2.0,SunExpress,36.901,30.792,3500.64,Crowne Plaza - antalya,10.0,1.0,2023-02-13T21:20:35.835Z,2023-02-24T11:00:00.000Z,372.0
513628-18e9bf45b077450e8524f27d473710b4,513628,513628-eca63443a8434d37a78b7554ce5a648c,2023-05-11T09:41:00.000Z,2023-05-11T09:43:34.000Z,21,false,null,false,null,true,true,false,1983-11-09T00:00:00.000Z,F,true,false,usa,fresno,FAT,36.776,-119.718,2023-01-06T00:00:00.000Z,FAT,new york,JFK,1.0,true,2023-05-19T08:00:00.000Z,2023-05-21T08:00:00.000Z,1.0,American Airlines,40.64,-73.779,754.66,Aman Resorts - new york,1.0,1.0,2023-05-19T14:57:17.775Z,2023-05-21T11:00:00.000Z,140.0
526837-822414ed6552453085f79b609bd33830,526837,526837-51821d1734a24cbfb8b2894a62d5e260,2023-05-11T10:55:00.000Z,2023-05-11T10:59:23.000Z,36,false,null,false,null,true,true,false,1976-11-24T00:00:00.000Z,F,true,false,usa,honolulu,HNL,21.316,-157.927,2023-01-12T00:00:00.000Z,HNL,los angeles,LSQ,2.0,true,2023-12-21T17:00:00.000Z,2024-01-13T17:00:00.000Z,2.0,American Airlines,33.942,-118.408,1500.06,InterContinental  - los angeles,21.0,1.0,2023-12-22T00:08:09.195Z,2024-01-12T11:00:00.000Z,251.0
600515-fdc8da7986c64069a7177df659540951,600515,600515-30be551350db480585cf46cd726d22f2,2023-05-22T19:41:00.000Z,2023-05-22T19:44:16.000Z,27,false,null,false,null,true,true,false,1987-11-09T00:00:00.000Z,F,true,false,canada,toronto,YZD,43.742,-79.466,2023-02-17T00:00:00.000Z,YZD,san francisco,SFO,1.0,true,2023-05-28T07:00:00.000Z,2023-05-29T07:00:00.000Z,1.0,American Airlines,37.619,-122.375,660.96,Conrad  - san francisco,0.0,1.0,2023-05-28T13:32:59.820Z,2023-05-29T11:00:00.000Z,265.0
508866-07457499e7ab4b3b9110c5598dd652d2,508866,508866-100733e94c04441a921af8b555f25d60,2023-04-24T21:12:00.000Z,2023-04-24T21:14:15.000Z,18,false,null,false,null,true,true,false,1993-06-07T00:00:00.000Z,F,false,false,usa,el paso,BIF,31.849,-106.38,2023-01-04T00:00:00.000Z,BIF,seattle,BFI,3.0,true,2023-05-01T16:00:00.000Z,2023-05-09T16:00:00.000Z,0.0,Kenmore Air,47.53,-122.302,1219.85,Best Western - seattle,6.0,3.0,2023-05-01T20:45:16.155Z,2023-05-08T11:00:00.000Z,123.0
529513-7a9689f0aaba40028c8c4bf0ffd33c78,529513,529513-a9cf18c8e11e4aef813c5c7332d6697a,2023-05-21T22:06:00.000Z,2023-05-21T22:08:54.000Z,23,false,null,false,null,true,true,false,1982-10-18T00:00:00.000Z,F,false,false,usa,louisville,LOU,38.228,-85.664,2023-01-14T00:00:00.000Z,LOU,los angeles,LSQ,1.0,true,2023-06-01T10:00:00.000Z,2023-06-07T10:00:00.000Z,0.0,Ryanair,33.942,-118.408,523.78,Radisson  - los angeles,5.0,1.0,2023-06-01T15:42:22.545Z,2023-06-07T11:00:00.000Z,187.0
670626-acfe08af0bc34e03bd75a8c5408cbb95,670626,670626-d77d3b04a05d486d8cc6c47463dd2b1b,2023-04-23T06:50:00.000Z,2023-04-23T06:54:05.000Z,33,false,null,false,null,false,true,false,1970-05-20T00:00:00.000Z,F,true,false,canada,victoria,YYJ,48.647,-123.426,2023-03-17T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Fairmont - tucson,4.0,2.0,2023-04-29T11:00:00.000Z,2023-05-03T11:00:00.000Z,190.0
638140-e53b3f1836d54274b93578567be6b640,638140,638140-f84458024ac340f19f4c4cb72deb74af,2023-05-10T19:13:00.000Z,2023-05-10T19:18:33.000Z,45,false,null,false,null,true,true,false,1985-05-21T00:00:00.000Z,F,false,true,usa,richmond,RIC,37.505,-77.319,2023-03-05T00:00:00.000Z,RIC,chicago,ORD,4.0,true,2023-05-20T10:00:00.000Z,2023-05-22T10:00:00.000Z,2.0,Allegiant Air,41.786,-87.752,486.53,Wyndham - chicago,1.0,4.0,2023-05-20T13:15:50.400Z,2023-05-22T11:00:00.000Z,80.0
662010-e6394863fa9d4783961f4dd13cceb4be,662010,662010-b47773f9910f4e02b84925ef8e3503d4,2023-06-06T14:32:00.000Z,2023-06-06T14:34:40.000Z,22,true,0.3,false,null,true,true,false,1981-10-20T00:00:00.000Z,F,true,false,usa,denver,DEN,39.858,-104.667,2023-03-14T00:00:00.000Z,DEN,toronto,YYZ,2.0,true,2023-06-13T07:00:00.000Z,2023-06-21T07:00:00.000Z,1.0,Air Canada,43.862,-79.37,788.1,Hyatt - toronto,7.0,2.0,2023-06-13T11:39:57.870Z,2023-06-20T11:00:00.000Z,186.0
571454-8d6c4bae762142cda78aab52576821b3,571454,571454-44a215d01a9b481ead9bb6658a9688ca,2023-06-08T17:37:00.000Z,2023-06-08T17:38:52.000Z,15,false,null,false,null,true,true,false,1986-11-15T00:00:00.000Z,F,true,false,usa,los angeles,LAX,33.942,-118.408,2023-02-03T00:00:00.000Z,LAX,new york,LGA,2.0,true,2023-06-18T07:00:00.000Z,2023-06-25T07:00:00.000Z,0.0,WestJet,40.64,-73.779,1536.54,Choice Hotels - new york,6.0,2.0,2023-06-18T13:58:03.945Z,2023-06-25T11:00:00.000Z,299.0
