user_id,session_created,total_flights_booked_not_cancelled,total_hotels_booked_not_cancelled,total_trip_cancellation,avg_flight_base_fare_booked,avg_hotel_price_per_room_booked,avg_nights_booked,gender,marital_status,children,home_country,home_airport,rfm_recency_days,rfm_frequency,rfm_monetary,rfm_score,rfm_segment,assigned_perk
u_100001,7,8,0,3,106.06,0.0,0.0,male,False,True,US,LAX,221,7,106.06,238.61,Engaged,Loyalty Perk
u_100002,38,4,6,0,702.22,105.88,3.5,male,True,False,US,SEA,599,38,808.1,717.81,Frequent,Hotel Discount
u_100003,23,5,4,2,741.85,305.41,4.2,female,True,True,AU,JFK,805,23,1047.26,932.73,Frequent,Flight Discount
u_100004,43,3,6,2,887.88,349.36,6.2,female,False,True,US,LGA,808,43,1237.24,974.72,Frequent,Flight Discount
u_100005,43,4,5,0,579.49,109.9,5.4,female,True,False,GB,ORD,364,43,689.39,475.94,Frequent,Hotel Discount
u_100006,3,5,3,2,134.27,369.6,4.4,female,True,False,US,ORD,674,3,503.87,727.39,Engaged,Loyalty Perk
u_100007,9,3,5,2,692.55,199.95,4.5,female,False,False,US,DFW,771,9,892.5,869.25,Engaged,Hotel Discount
u_100008,10,2,6,3,569.06,184.67,4.6,male,False,True,US,JFK,988,10,753.73,1073.37,Frequent,Hotel Discount
u_100009,19,6,1,3,82.66,302.73,5.3,male,True,False,GB,JFK,1055,19,385.39,1112.54,Frequent,Loyalty Perk
u_100010,11,8,6,0,571.13,221.01,1.7,male,False,True,US,SFO,773,11,792.14,863.21,Frequent,New User Perk
u_100011,6,1,5,3,749.14,392.29,4.2,female,True,True,US,ATL,287,6,1141.43,407.14,Engaged,Other
u_100012,28,3,4,1,664.62,189.65,5.0,female,True,False,FR,ATL,794,28,854.27,907.43,Frequent,Flight Discount
u_100013,22,0,4,1,0.0,255.95,1.0,female,True,True,US,JFK,150,22,255.95,197.59,Frequent,Family Perk
u_100014,18,7,1,1,673.15,358.83,4.5,male,False,True,FR,ORD,527,18,1031.98,648.2,Frequent,Hotel Discount
u_100015,23,6,3,3,788.35,68.96,4.9,female,True,True,US,MIA,231,23,857.31,339.73,Frequent,New User Perk
u_100016,35,7,1,3,230.46,211.92,6.2,female,True,True,US,ORD,184,35,442.38,263.24,Frequent,Flight Discount
u_100017,11,6,3,3,255.27,190.36,1.4,male,True,True,US,ORD,806,11,445.63,861.56,Frequent,Family Perk
u_100018,45,8,5,3,206.93,153.85,6.8,female,False,False,CA,MIA,1140,45,360.78,1221.08,Frequent,Flight Discount
u_100019,34,2,0,0,778.1,0.0,0.0,female,True,True,DE,BOS,170,34,778.1,281.81,Frequent,Flight Discount
u_100020,39,0,4,0,0.0,196.73,4.5,male,False,True,US,ATL,1100,39,196.73,1158.67,Frequent,Loyalty Perk
u_100021,26,2,5,2,454.92,375.16,6.6,female,True,False,US,DFW,49,26,830.08,158.01,Frequent,Hotel Discount
u_100022,9,5,0,1,383.01,0.0,0.0,male,True,True,FR,DFW,353,9,383.01,400.3,Engaged,Loyalty Perk
u_100023,17,1,0,1,303.33,0.0,0.0,female,True,False,US,LAX,461,17,303.33,508.33,Frequent,Family Perk
